EXTRA,DATA_TYPE,COLUMN_KEY,COLUMN_TYPE,IS_NULLABLE,TABLE_SCHEMA,PRIVILEGES,TABLE_NAME,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,COLLATION_NAME,NUMERIC_PRECISION,DATETIME_PRECISION,CHARACTER_SET_NAME,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,CHARACTER_SETS,NULL,def,CHARACTER_SET_NAME,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,CHARACTER_SETS,NULL,def,DEFAULT_COLLATE_NAME,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(60),NO,information_schema,select,CHARACTER_SETS,NULL,def,DESCRIPTION,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,180,60
<blank>,bigint,<blank>,bigint(3),NO,information_schema,select,CHARACTER_SETS,0,def,MAXLEN,<blank>,0,4,NULL,19,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,COLLATIONS,NULL,def,COLLATION_NAME,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,COLLATIONS,NULL,def,CHARACTER_SET_NAME,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,bigint,<blank>,bigint(11),NO,information_schema,select,COLLATIONS,0,def,ID,<blank>,0,3,NULL,19,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLLATIONS,NULL,def,IS_DEFAULT,<blank>,<blank>,4,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLLATIONS,NULL,def,IS_COMPILED,<blank>,<blank>,5,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,bigint,<blank>,bigint(3),NO,information_schema,select,COLLATIONS,0,def,SORTLEN,<blank>,0,6,NULL,19,NULL,NULL,NULL,NULL
